"Ryane Clowe" LW 0 1 1 0 15:09
"Patrik Elias" LW 1 0 2 2 15:55
"Eric Gelinas" D 0 0 1 1 16:41
"Stephen Gionta" C 0 0 0 2 11:44
"Andy Greene" D 0 1 2 3 19:42
"Martin Havlat" RW 0 1 1 1 14:56
"Adam Henrique" C 1 1 2 1 16:05
"Jaromir Jagr" RW 0 2 1 1 17:30
"Jonathon Merrill" D 0 0 0 0 21:36
"Tuomo Ruutu" CLW 0 0 0 0 8:12
"Michael Ryder" RW 1 2 2 2 13:18
"Bryce Salvador" D 0 0 1 1 21:11
"Damon Severson" D 0 0 2 2 18:39
"Jordin Tootoo" RW 0 0 0 0 8:03
"Travis Zajac" C 0 0 0 0 18:00
"Marek Zidlicky" D 0 2 2 1 22:11
"Dainius Zubrus" RW 1 0 2 2 15:50

"Steve Mason" G 5 25 58:43

"Jason Akeson" RW 0 0 0 0 11:27
"Pierre-Edouard Bellemare" LW 0 0 0 2 11:18
"Sean Couturier" C 0 0 0 3 19:32
"Michael Del Zotto" D 0 0 -4 5 18:55
"Claude Giroux" CRW 1 1 -4 7 19:33
"Nicklas Grossmann" D 0 0 1 1 17:46
"Vincent Lecavalier" C 1 1 -1 3 14:51
"Andrew MacDonald" D 0 1 1 1 22:33
"Michael Raffl" LW 0 0 -4 0 10:15
"Matt Read" RW 0 1 0 1 19:49
"Zac Rinaldo" C 0 0 0 1 9:51
"Brayden Schenn" C 0 0 0 3 15:12
"Luke Schenn" D 0 0 -5 3 16:01
"Nick Schultz" D 0 0 0 1 14:46
"Wayne Simmonds" RW 2 1 2 4 17:19
"Mark Streit" D 0 2 -1 1 25:50
"R.J. Umberger" C 0 0 -2 1 12:48
"Jakub Voracek" RW 0 1 -4 2 17:31

13 http://www.hockey-reference.com/boxscores/201410090PIT.html 2014-10-09 "Anaheim Ducks" "Pittsburgh Penguins" 4 6
"John Gibson" G 6 39 60:00

"Francois Beauchemin" D 0 0 -1 2 20:10
"Matt Beleskey" LW 0 0 -1 0 11:45
"Andrew Cogliano" C 0 0 0 2 17:30
"Emerson Etem" RW 0 0 -2 0 10:01
"Cam Fowler" D 0 0 -3 0 19:54
"Ryan Getzlaf" C 0 2 -2 3 20:17
"Tim Jackman" RW 0 0 -1 1 7:28
"Ryan Kesler" C 1 2 -1 2 19:29
"Hampus Lindholm" D 0 0 -1 0 23:45
"Ben Lovejoy" D 0 0 -3 0 18:08
"Patrick Maroon" LW 0 1 -1 3 16:55
"Corey Perry" RW 3 0 -1 5 19:00
"Rickard Rakell" RW 0 0 -1 1 12:36
"Jakob Silfverberg" LW 0 0 0 2 17:41
"Devante Smith-Pelly" RW 0 0 -2 2 11:31
"Clayton Stoner" D 0 0 1 0 15:10
"Nate Thompson" C 0 0 -1 3 13:08
"Sami Vatanen" D 0 2 0 3 18:40

"Marc-Andre Fleury" G 4 29 60:00

"Craig Adams" RW 0 0 0 2 8:52
"Blake Comeau" RW 1 0 0 3 11:53
"Sidney Crosby" C 2 1 2 5 20:19
"Simon Despres" D 0 0 1 4 15:36
"Steve Downie" RW 0 0 0 2 13:05
"Pascal Dupuis" LW 1 3 3 5 16:26
"Christian Ehrhoff" D 0 0 1 2 20:39
